class_name,original_filename,flipped_filename,type
n01484850,sketch_3.JPEG,sketch_49.JPEG,origin
n01494475,sketch_2.JPEG,sketch_48.JPEG,horizontal
n01496331,sketch_0.JPEG,sketch_27.JPEG,horizontal
n01496331,sketch_11.JPEG,sketch_38.JPEG,horizontal
n01496331,sketch_12.JPEG,sketch_39.JPEG,horizontal
n01496331,sketch_16.JPEG,sketch_43.JPEG,horizontal
n01496331,sketch_18.JPEG,sketch_45.JPEG,horizontal
n01496331,sketch_22.JPEG,sketch_49.JPEG,horizontal
n01496331,sketch_34.JPEG,sketch_7.JPEG,horizontal
n01496331,sketch_35.JPEG,sketch_8.JPEG,horizontal
n01496331,sketch_36.JPEG,sketch_9.JPEG,horizontal
n01514668,sketch_23.JPEG,sketch_28.JPEG,origin
n01514668,sketch_23.JPEG,sketch_34.JPEG,origin
n01514668,sketch_23.JPEG,sketch_4.JPEG,origin
n01518878,sketch_0.JPEG,sketch_49.JPEG,horizontal
n01530575,sketch_0.JPEG,sketch_49.JPEG,horizontal
n01531178,sketch_0.JPEG,sketch_46.JPEG,horizontal
n01531178,sketch_1.JPEG,sketch_47.JPEG,horizontal
n01532829,sketch_0.JPEG,sketch_49.JPEG,horizontal
n01532829,sketch_1.JPEG,sketch_50.JPEG,horizontal
n01534433,sketch_2.JPEG,sketch_47.JPEG,horizontal
n01534433,sketch_5.JPEG,sketch_50.JPEG,horizontal
n01537544,sketch_0.JPEG,sketch_34.JPEG,horizontal
n01537544,sketch_1.JPEG,sketch_35.JPEG,horizontal
n01537544,sketch_2.JPEG,sketch_36.JPEG,horizontal
n01537544,sketch_38.JPEG,sketch_4.JPEG,horizontal
n01537544,sketch_39.JPEG,sketch_5.JPEG,horizontal
n01537544,sketch_43.JPEG,sketch_9.JPEG,horizontal
n01558993,sketch_0.JPEG,sketch_12.JPEG,horizontal
n01558993,sketch_0.JPEG,sketch_24.JPEG,vertical
n01558993,sketch_0.JPEG,sketch_36.JPEG,symmetry
n01558993,sketch_1.JPEG,sketch_25.JPEG,vertical
n01558993,sketch_1.JPEG,sketch_49.JPEG,origin
n01558993,sketch_15.JPEG,sketch_27.JPEG,symmetry
n01558993,sketch_15.JPEG,sketch_3.JPEG,horizontal
n01558993,sketch_15.JPEG,sketch_39.JPEG,vertical
n01558993,sketch_17.JPEG,sketch_29.JPEG,symmetry
n01558993,sketch_17.JPEG,sketch_41.JPEG,vertical
n01558993,sketch_18.JPEG,sketch_30.JPEG,symmetry
n01558993,sketch_18.JPEG,sketch_6.JPEG,horizontal
n01558993,sketch_2.JPEG,sketch_9.JPEG,origin
n01558993,sketch_20.JPEG,sketch_44.JPEG,vertical
n01558993,sketch_20.JPEG,sketch_8.JPEG,horizontal
n01558993,sketch_22.JPEG,sketch_34.JPEG,symmetry
n01558993,sketch_26.JPEG,sketch_33.JPEG,origin
n01558993,sketch_4.JPEG,sketch_40.JPEG,origin
n01580077,sketch_0.JPEG,sketch_23.JPEG,horizontal
n01580077,sketch_10.JPEG,sketch_33.JPEG,horizontal
n01580077,sketch_11.JPEG,sketch_34.JPEG,horizontal
n01580077,sketch_16.JPEG,sketch_39.JPEG,horizontal
n01580077,sketch_20.JPEG,sketch_43.JPEG,horizontal
n01580077,sketch_21.JPEG,sketch_44.JPEG,horizontal
n01580077,sketch_22.JPEG,sketch_45.JPEG,horizontal
n01580077,sketch_24.JPEG,sketch_47.JPEG,origin
n01580077,sketch_28.JPEG,sketch_5.JPEG,horizontal
n01580077,sketch_29.JPEG,sketch_6.JPEG,origin
n01580077,sketch_31.JPEG,sketch_8.JPEG,horizontal
n01592084,sketch_0.JPEG,sketch_46.JPEG,horizontal
n01601694,sketch_1.JPEG,sketch_45.JPEG,origin
n01601694,sketch_2.JPEG,sketch_46.JPEG,horizontal
n01608432,sketch_0.JPEG,sketch_17.JPEG,horizontal
n01608432,sketch_0.JPEG,sketch_34.JPEG,vertical
n01608432,sketch_10.JPEG,sketch_44.JPEG,vertical
n01608432,sketch_11.JPEG,sketch_45.JPEG,vertical
n01608432,sketch_12.JPEG,sketch_29.JPEG,horizontal
n01608432,sketch_12.JPEG,sketch_46.JPEG,vertical
n01608432,sketch_13.JPEG,sketch_30.JPEG,origin
n01608432,sketch_13.JPEG,sketch_47.JPEG,origin
n01608432,sketch_20.JPEG,sketch_37.JPEG,symmetry
n01608432,sketch_21.JPEG,sketch_38.JPEG,symmetry
n01608432,sketch_24.JPEG,sketch_41.JPEG,symmetry
n01608432,sketch_25.JPEG,sketch_42.JPEG,symmetry
n01608432,sketch_25.JPEG,sketch_8.JPEG,horizontal
n01616318,sketch_1.JPEG,sketch_49.JPEG,horizontal
n01616318,sketch_2.JPEG,sketch_50.JPEG,horizontal
n01630670,sketch_1.JPEG,sketch_19.JPEG,horizontal
n01630670,sketch_14.JPEG,sketch_32.JPEG,origin
n01630670,sketch_16.JPEG,sketch_34.JPEG,origin
n01630670,sketch_21.JPEG,sketch_3.JPEG,horizontal
n01630670,sketch_22.JPEG,sketch_4.JPEG,origin
n01630670,sketch_22.JPEG,sketch_40.JPEG,origin
n01630670,sketch_24.JPEG,sketch_42.JPEG,symmetry
n01630670,sketch_24.JPEG,sketch_6.JPEG,horizontal
n01630670,sketch_26.JPEG,sketch_44.JPEG,symmetry
n01630670,sketch_26.JPEG,sketch_46.JPEG,vertical
n01630670,sketch_26.JPEG,sketch_8.JPEG,horizontal
n01630670,sketch_27.JPEG,sketch_45.JPEG,symmetry
n01630670,sketch_27.JPEG,sketch_9.JPEG,horizontal
n01632777,sketch_0.JPEG,sketch_26.JPEG,horizontal
n01632777,sketch_11.JPEG,sketch_37.JPEG,horizontal
n01632777,sketch_13.JPEG,sketch_39.JPEG,horizontal
n01632777,sketch_14.JPEG,sketch_40.JPEG,horizontal
n01632777,sketch_15.JPEG,sketch_41.JPEG,horizontal
n01632777,sketch_16.JPEG,sketch_42.JPEG,horizontal
n01632777,sketch_17.JPEG,sketch_43.JPEG,horizontal
n01632777,sketch_19.JPEG,sketch_45.JPEG,horizontal
n01632777,sketch_24.JPEG,sketch_50.JPEG,horizontal
n01641577,sketch_2.JPEG,sketch_27.JPEG,horizontal
n01641577,sketch_20.JPEG,sketch_45.JPEG,horizontal
n01641577,sketch_22.JPEG,sketch_47.JPEG,horizontal
n01641577,sketch_23.JPEG,sketch_48.JPEG,horizontal
n01641577,sketch_24.JPEG,sketch_49.JPEG,horizontal
n01641577,sketch_29.JPEG,sketch_4.JPEG,horizontal
n01641577,sketch_31.JPEG,sketch_6.JPEG,horizontal
n01641577,sketch_33.JPEG,sketch_8.JPEG,horizontal
n01644373,sketch_1.JPEG,sketch_48.JPEG,horizontal
n01644373,sketch_2.JPEG,sketch_49.JPEG,origin
n01644900,sketch_1.JPEG,sketch_31.JPEG,origin
n01644900,sketch_10.JPEG,sketch_40.JPEG,horizontal
n01644900,sketch_12.JPEG,sketch_42.JPEG,horizontal
n01644900,sketch_17.JPEG,sketch_47.JPEG,horizontal
n01644900,sketch_18.JPEG,sketch_48.JPEG,horizontal
n01644900,sketch_19.JPEG,sketch_49.JPEG,horizontal
n01644900,sketch_3.JPEG,sketch_33.JPEG,horizontal
n01644900,sketch_34.JPEG,sketch_4.JPEG,horizontal
n01677366,sketch_1.JPEG,sketch_30.JPEG,origin
n01677366,sketch_10.JPEG,sketch_39.JPEG,origin
n01677366,sketch_14.JPEG,sketch_43.JPEG,horizontal
n01677366,sketch_19.JPEG,sketch_48.JPEG,horizontal
n01677366,sketch_2.JPEG,sketch_31.JPEG,horizontal
n01677366,sketch_34.JPEG,sketch_5.JPEG,horizontal
n01677366,sketch_36.JPEG,sketch_7.JPEG,horizontal
n01677366,sketch_38.JPEG,sketch_9.JPEG,origin
n01688243,sketch_12.JPEG,sketch_34.JPEG,horizontal
n01688243,sketch_14.JPEG,sketch_36.JPEG,horizontal
n01688243,sketch_16.JPEG,sketch_38.JPEG,horizontal
n01688243,sketch_19.JPEG,sketch_41.JPEG,horizontal
n01688243,sketch_2.JPEG,sketch_46.JPEG,vertical
n01688243,sketch_20.JPEG,sketch_42.JPEG,horizontal
n01688243,sketch_25.JPEG,sketch_3.JPEG,horizontal
