effi,conv,dino,clip,tar
59,59,59,59,59
202,202,202,200,202
138,138,138,138,138
382,382,382,382,382
80,80,80,80,80
473,473,473,473,473
117,117,117,117,117
116,116,116,116,116
197,197,197,197,197
423,423,423,423,423
198,198,198,198,198
489,489,489,489,489
351,351,351,351,351
329,329,329,329,329
38,38,38,38,38
111,111,111,111,111
186,186,186,186,186
330,330,330,330,330
202,202,202,202,202
293,293,378,293,293
228,228,228,228,228
56,56,56,56,56
29,29,29,29,29
161,161,161,160,161
23,23,23,21,23
141,141,141,141,141
327,327,327,327,327
218,218,218,218,218
77,77,77,77,77
393,393,393,393,393
299,299,299,299,299
54,54,54,54,54
296,230,256,296,296
235,235,235,235,235
429,429,429,429,429
41,37,37,37,37
265,265,265,265,265
150,150,150,150,150
435,435,435,435,435
311,311,311,311,311
12,12,12,12,12
498,498,498,498,498
182,182,182,184,182
399,399,399,399,399
145,145,145,145,145
437,437,437,437,437
478,478,478,478,478
260,260,260,260,260
7,7,7,7,7
194,194,194,194,194
287,287,287,287,287
17,17,17,17,17
357,357,357,357,357
333,333,333,333,333
286,286,286,286,286
335,335,335,335,335
116,116,116,114,116
497,497,497,497,497
89,89,89,120,89
60,115,115,115,115
389,389,389,389,389
288,288,288,288,288
358,358,358,358,358
211,211,211,211,211
258,258,258,258,258
338,338,338,338,338
225,225,225,225,225
45,45,45,45,45
271,271,271,271,271
84,84,84,142,84
414,414,414,414,414
4,4,4,4,4
440,440,440,440,440
449,449,449,449,449
304,304,304,304,304
203,203,203,203,203
141,141,141,141,141
70,70,70,70,70
400,400,400,400,400
470,470,470,470,470
257,257,257,257,257
332,332,332,332,332
41,41,41,41,41
221,221,221,221,221
145,145,145,145,145
363,363,363,363,363
149,149,133,133,149
74,74,74,74,74
2,2,2,2,2
210,210,210,210,210
492,492,492,492,492
286,286,286,286,286
281,281,281,281,281
377,377,377,377,377
453,453,453,453,453
321,321,321,321,321
354,354,354,354,354
488,488,488,485,488
157,157,157,157,157
156,156,156,156,156
470,470,470,470,470
55,55,55,55,55
371,371,371,371,371
17,17,191,17,17
279,279,279,279,279
70,69,70,70,69
66,66,66,66,66
124,104,104,122,104
32,32,32,32,32
270,270,270,270,270
224,458,458,458,458
128,128,128,128,128
18,18,18,18,18
401,401,401,401,401
8,6,78,8,8
185,185,185,185,185
15,15,15,15,15
368,368,368,368,368
301,301,301,301,301
243,243,243,243,243
485,485,485,485,485
191,191,191,191,191
264,264,264,264,264
128,128,128,128,128
286,286,286,286,286
461,461,461,461,461
267,267,267,267,267
25,25,25,25,25
71,71,71,71,71
318,318,318,318,318
156,156,156,156,156
394,394,394,394,394
289,289,289,289,289
128,126,128,126,126
356,356,356,356,356
415,415,415,415,415
272,272,272,272,272
366,366,366,366,366
49,49,49,49,49
146,146,146,146,146
369,369,369,369,369
60,60,60,60,60
443,443,443,443,443
83,83,83,83,83
392,392,392,392,392
220,220,220,220,220
180,180,180,180,180
9,11,11,9,9
132,132,132,132,132
233,233,233,233,233
46,46,46,46,46
199,199,199,199,199
317,317,317,317,317
308,308,308,308,308
58,71,71,71,71
61,61,61,61,61
487,487,487,487,487
147,147,93,147,147
126,126,126,126,126
134,134,134,134,134
204,204,204,204,204
256,256,256,256,256
323,323,323,323,323
306,306,306,459,306
136,136,136,136,136
293,293,293,293,293
15,15,15,6,15
277,277,277,277,277
39,39,39,39,39
396,396,396,396,396
201,200,151,201,201
282,282,282,282,282
369,369,369,369,369
236,236,236,236,236
76,76,76,76,76
218,218,218,218,218
369,369,369,369,369
446,446,446,235,446
395,395,395,395,395
412,412,412,412,412
53,53,53,71,53
39,39,39,39,39
252,252,252,252,252
317,317,317,317,317
192,192,192,192,192
76,76,76,76,76
341,341,341,341,341
107,107,107,107,107
341,341,341,341,341
172,172,172,172,172
15,15,11,15,15
417,417,417,417,417
337,337,337,337,337
397,397,397,397,397
250,250,371,250,250
352,352,352,352,352
194,194,151,194,194
471,471,471,471,471
386,386,386,386,386
447,447,447,447,447
206,209,209,206,209
51,51,51,51,51
222,222,222,222,222
319,319,319,319,319
141,141,141,141,141
157,159,159,159,159
120,123,123,120,123
487,487,487,487,487
131,131,131,131,131
198,198,198,198,198
407,407,407,407,407
462,462,462,462,462
422,422,422,422,422
32,32,32,32,32
218,218,218,218,218
315,315,315,315,315
155,155,155,155,155
363,363,363,363,363
374,374,374,299,374
318,318,318,318,318
121,121,121,121,121
39,40,40,40,40
257,257,257,257,257
175,175,175,175,175
179,179,391,179,179
14,14,14,14,14
457,457,457,457,457
75,75,75,75,75
113,113,113,113,113
496,496,496,496,496
277,277,375,277,277
331,331,70,331,331
461,461,461,80,461
469,469,469,469,469
339,339,339,339,339
426,426,426,426,426
306,306,306,306,306
266,266,266,266,266
347,347,347,347,347
269,269,269,269,269
66,66,66,66,66
121,121,121,121,121
80,80,80,80,80
498,498,498,498,498
180,180,180,180,180
380,380,380,370,380
370,370,370,370,370
208,208,208,208,208
17,17,17,17,17
2,2,2,220,2
434,434,434,434,434
220,220,220,220,220
233,233,233,233,233
14,14,14,14,14
108,108,108,108,108
381,381,381,381,381
95,95,95,95,95
103,103,103,103,103
95,96,203,95,95
484,484,484,484,484
280,280,280,280,280
113,113,114,114,113
119,119,119,119,119
392,392,392,392,392
239,239,239,239,239
299,299,299,299,299
112,138,138,142,138
236,236,236,236,236
34,34,34,34,34
298,298,298,298,298
112,112,112,112,112
233,233,233,233,233
133,133,101,133,133
221,221,221,221,221
432,432,240,432,432
229,229,229,229,229
334,334,339,334,334
378,378,378,378,378
146,146,146,146,146
355,355,355,355,355
94,121,141,94,94
445,445,445,445,445
447,447,447,447,447
455,455,455,455,455
346,346,346,346,346
100,100,100,99,100
479,479,479,479,479
204,204,204,204,204
68,68,68,68,68
230,230,230,230,230
163,161,16,163,163
25,25,25,25,25
390,390,390,390,390
292,292,292,292,292
425,425,425,425,425
323,323,323,323,323
478,478,478,478,478
147,142,147,147,147
390,390,390,390,390
82,82,82,82,82
74,74,74,74,74
326,326,326,326,326
31,31,31,31,31
199,199,199,199,199
450,450,450,450,450
261,261,261,362,261
445,445,445,445,445
8,8,8,8,8
499,499,499,499,499
76,76,76,12,76
9,9,9,9,9
258,258,258,258,258
481,481,481,481,481
257,257,257,257,257
273,273,273,273,273
466,466,466,466,466
330,330,330,330,330
393,393,393,393,393
435,435,435,435,435
130,130,130,130,130
62,62,62,62,62
132,132,132,132,132
441,441,441,441,441
391,391,391,391,391
115,115,115,115,115
367,367,367,367,367
172,172,172,172,172
393,393,393,393,393
23,23,23,23,23
6,6,6,6,6
456,456,456,456,456
419,419,419,419,419
371,371,371,250,371
449,449,449,449,449
381,381,381,381,381
29,29,29,29,29
301,301,308,301,301
114,114,114,114,114
377,377,377,377,377
199,199,199,197,199
104,104,85,104,104
230,230,230,230,230
162,162,162,162,162
276,276,276,276,276
15,15,15,15,15
313,313,313,313,313
110,110,110,110,110
436,436,436,436,436
52,52,16,52,52
84,84,84,84,84
59,59,59,59,59
122,122,122,122,122
89,89,89,89,89
66,66,66,66,66
7,7,7,74,7
294,294,294,294,294
379,379,379,379,379
230,230,230,230,230
104,104,104,104,104
123,123,123,123,123
366,366,366,366,366
334,334,334,334,334
497,497,497,473,497
56,56,56,56,56
179,179,179,179,179
382,382,382,382,382
54,54,54,54,54
421,417,417,421,417
329,329,329,329,329
71,71,71,71,71
281,281,281,281,281
254,254,254,254,254
492,492,492,385,492
253,253,253,253,253
232,232,232,232,232
288,288,288,288,288
58,58,58,58,58
270,270,270,270,270
210,210,210,210,210
10,9,9,10,10
478,478,478,478,478
303,303,303,303,303
174,174,174,174,174
90,90,90,90,90
283,283,283,283,283
276,276,276,276,276
380,380,380,172,380
376,376,376,376,376
434,434,434,434,434
57,57,57,57,57
34,34,34,34,34
20,20,20,19,20
41,41,41,41,41
275,275,275,275,275
61,61,61,61,61
396,396,396,396,396
240,432,240,240,432
431,431,431,431,431
429,429,429,429,429
77,77,77,77,77
34,34,34,34,34
251,251,251,243,251
373,373,373,373,373
206,206,206,209,206
481,481,481,481,481
280,280,280,280,280
482,482,482,482,482
147,101,148,101,101
50,50,50,50,50
147,147,147,147,147
240,240,240,240,240
39,40,40,40,40
103,130,130,130,130
46,46,46,46,46
469,469,469,469,469
91,91,91,91,91
52,52,52,52,52
148,148,148,148,148
429,429,429,429,429
376,376,376,376,376
21,21,21,21,21
43,43,43,43,43
97,97,97,97,97
194,194,194,194,194
212,212,487,202,212
271,271,271,271,271
372,372,372,372,372
150,150,150,150,150
131,131,131,131,131
48,48,48,48,48
20,20,20,20,20
343,343,343,343,343
428,428,428,428,428
449,449,449,449,449
353,353,353,353,353
109,109,109,109,109
226,402,402,402,402
27,27,27,27,27
495,342,342,342,342
28,28,28,29,28
178,178,178,178,178
482,482,482,482,482
43,43,43,43,43
284,284,284,284,284
321,419,485,321,321
57,57,57,57,57
174,174,174,174,174
260,260,260,260,260
49,49,49,49,49
382,382,382,382,382
272,272,416,270,272
481,481,481,481,481
456,456,456,456,456
326,326,326,326,326
453,453,453,453,453
301,301,378,301,301
346,346,409,346,346
163,163,163,133,163
265,265,265,265,265
267,257,257,267,257
75,75,75,75,75
5,5,5,5,5
392,392,392,392,392
180,180,180,180,180
34,34,34,34,34
446,331,331,331,331
349,349,349,349,349
89,89,89,89,89
452,452,452,452,452
441,441,441,441,441
489,489,489,485,489
388,388,388,388,388
206,206,10,206,206
451,451,451,451,451
415,415,415,415,415
175,175,175,175,175
454,454,454,454,454
365,365,365,365,365
99,100,105,99,99
446,446,446,446,446
418,418,418,418,418
91,91,91,91,91
217,217,217,217,217
450,450,450,450,450
112,112,112,112,112
293,293,293,293,293
262,262,262,262,262
491,491,491,491,491
268,268,268,268,268
333,333,333,333,333
437,437,437,437,437
351,351,420,351,351
224,224,224,224,224
497,497,497,497,497
216,216,216,216,216
133,133,133,133,133
108,108,108,108,108
47,47,47,47,47
229,229,229,229,229
441,441,441,441,441
375,375,375,375,375
81,81,81,81,81
300,300,300,300,300
43,43,43,43,43
393,393,393,393,393
354,354,354,354,354
48,48,48,48,48
203,203,203,203,203
262,262,262,262,262
439,439,439,439,439
391,391,391,391,391
488,488,488,488,488
328,328,328,328,328
269,269,269,269,269
200,201,201,200,200
490,490,490,490,490
362,362,362,362,362
120,120,120,120,120
124,124,124,124,124
200,200,200,200,200
112,112,112,112,112
203,203,203,203,203
253,253,253,253,253
35,35,35,35,35
16,16,16,16,16
78,78,78,78,78
215,215,215,215,215
462,462,462,462,462
225,225,225,225,225
143,143,104,143,143
377,377,377,377,377
411,411,411,411,411
236,236,236,236,236
356,241,241,241,241
474,474,474,474,474
402,402,402,402,402
132,132,132,132,132
216,216,216,216,216
20,20,20,20,20
151,151,151,151,151
131,131,131,131,131
315,315,315,315,315
298,298,298,298,298
309,309,309,309,309
412,412,412,412,412
58,58,58,58,58
273,273,273,273,273
472,472,465,472,472
438,438,438,449,438
117,117,117,117,117
82,82,82,82,82
281,281,281,281,281
356,356,356,356,356
331,331,331,331,331
360,360,360,360,360
139,139,139,139,139
159,159,159,97,159
315,315,315,315,315
416,416,416,416,416
456,456,456,456,456
435,435,435,435,435
394,386,386,386,386
92,92,92,92,92
474,474,474,474,474
48,48,48,48,48
37,37,37,37,37
307,307,307,307,307
261,330,330,330,330
418,418,418,418,418
410,410,410,410,410
354,277,382,354,354
194,194,194,194,194
237,237,237,237,237
391,391,391,391,391
240,240,240,432,240
451,451,451,451,451
200,200,200,200,200
334,334,334,334,334
317,317,317,317,317
239,239,239,239,239
219,219,219,219,219
99,99,99,99,99
259,259,259,259,259
114,115,115,115,114
122,122,122,122,122
498,498,498,498,498
184,184,184,184,184
24,24,24,24,24
44,44,44,47,44
117,117,117,117,117
382,382,382,382,382
166,166,166,166,166
67,67,67,67,67
496,496,496,496,496
293,293,293,293,293
432,432,240,432,432
73,74,74,74,74
363,363,363,363,363
424,424,424,424,424
336,336,336,336,336
299,299,299,299,299
321,321,321,486,321
47,47,47,47,47
10,10,10,10,10
238,238,238,490,238
40,40,40,40,40
5,5,5,5,5
458,458,458,458,458
396,396,396,396,396
460,460,460,460,460
227,227,227,227,227
171,171,171,171,171
222,222,222,222,222
463,463,463,463,463
320,320,320,320,320
316,316,316,316,316
281,281,281,281,281
436,436,436,436,436
449,250,16,250,250
242,242,242,242,242
305,305,305,305,305
281,281,281,281,281
217,217,217,217,217
51,51,51,51,51
410,410,410,410,410
157,157,157,157,157
105,105,105,105,105
414,414,414,414,414
454,454,454,454,454
412,412,412,412,412
358,358,358,358,358
355,355,355,355,355
17,17,17,17,17
425,425,425,425,425
173,173,173,173,173
34,34,34,34,34
127,127,127,128,127
260,442,442,442,442
231,231,231,231,231
259,259,259,259,259
238,238,378,490,238
281,281,281,281,281
493,493,493,493,493
296,296,296,296,296
214,214,214,214,214
129,129,129,129,129
393,393,393,393,393
220,220,220,220,220
56,56,56,56,56
115,130,453,115,115
210,210,210,210,210
454,454,454,454,454
316,316,316,316,316
238,238,238,238,238
467,467,467,467,467
227,227,227,227,227
496,496,496,496,496
472,472,472,472,472
328,328,328,328,328
9,9,9,9,9
459,459,459,459,459
450,450,450,450,450
350,350,350,350,350
37,37,37,37,37
311,311,311,311,311
17,17,17,17,17
296,296,296,296,296
32,32,32,31,32
282,282,282,282,282
12,12,12,12,12
182,182,182,183,182
42,42,42,42,42
461,461,461,461,461
176,176,176,176,176
184,184,184,184,184
255,255,255,255,255
350,350,350,350,350
361,361,361,361,361
306,306,306,306,306
440,440,440,440,440
5,5,5,5,5
248,333,333,333,333
325,463,463,463,463
101,101,101,101,101
215,215,215,214,215
459,459,459,459,459
322,322,322,322,322
434,434,434,434,434
153,153,153,153,153
325,325,325,325,325
282,282,282,282,282
377,377,377,377,377
380,380,380,380,380
483,483,483,483,483
73,73,73,73,73
75,75,75,75,75
342,342,342,342,342
87,87,87,87,87
400,400,400,400,400
299,299,299,299,299
265,265,265,265,265
4,4,4,4,4
468,468,468,468,468
276,276,276,276,276
309,309,341,309,309
323,323,323,323,323
202,202,202,202,202
423,423,423,423,423
35,35,35,35,35
223,223,223,223,223
421,421,421,421,421
358,358,358,358,358
356,356,356,356,356
39,34,39,34,34
220,220,220,220,220
185,185,185,185,185
192,192,192,195,192
109,109,109,109,109
305,305,305,305,305
105,105,105,89,105
417,417,417,417,417
301,25,25,25,25
35,35,35,35,35
427,427,427,427,427
66,66,66,66,66
360,360,360,360,360
108,108,108,108,108
302,302,302,302,302
62,62,62,62,62
327,327,327,327,327
109,109,109,109,109
59,59,59,59,59
75,81,16,75,75
187,187,187,187,187
474,474,474,474,474
389,389,389,389,389
16,16,16,16,16
294,294,294,294,294
168,168,168,168,168
214,214,214,214,214
114,114,114,114,114
182,182,182,182,182
123,123,123,123,123
183,313,478,183,183
41,41,41,41,41
190,190,190,190,190
226,226,226,226,226
94,94,94,94,94
70,70,70,70,70
447,447,447,447,447
240,240,240,446,240
448,448,448,448,448
495,495,495,495,495
113,113,113,115,115
29,216,216,216,216
124,124,124,124,124
499,499,499,499,499
5,5,5,5,5
75,75,75,75,75
425,425,425,425,425
396,396,396,396,396
299,299,299,299,299
313,313,313,313,313
177,177,177,177,177
370,370,370,370,370
59,59,59,59,59
154,154,154,154,154
15,15,15,3,15
437,437,437,437,437
253,253,253,253,253
63,256,438,63,63
296,296,296,296,296
33,33,33,33,33
242,242,242,242,242
418,418,418,418,418
154,154,154,154,154
206,206,206,206,206
179,179,179,179,179
284,284,284,284,284
346,346,346,346,346
443,443,443,443,443
65,65,65,65,65
126,126,126,126,126
279,279,279,279,279
77,77,77,77,77
432,432,240,432,432
295,295,295,295,295
121,121,121,93,121
403,404,404,404,404
155,155,155,155,155
23,23,23,21,23
452,452,452,452,452
96,96,96,96,96
167,167,167,167,167
204,204,204,204,204
387,387,387,387,387
252,252,252,252,252
269,269,269,269,269
368,368,314,368,368
20,20,20,20,20
446,325,403,325,446
336,336,336,336,336
227,227,227,227,227
79,71,71,71,71
445,445,445,367,445
75,75,75,75,75
446,446,446,446,446
202,202,202,202,202
153,152,152,152,152
285,285,285,285,285
241,241,241,241,241
236,236,236,236,236
475,475,475,475,475
253,253,253,253,253
310,310,310,310,310
385,496,496,496,496
250,250,371,250,250
416,416,416,416,416
387,387,387,387,387
126,126,126,126,126
460,460,460,460,460
119,119,119,119,119
475,475,475,475,475
465,465,465,465,465
315,315,315,315,315
133,133,101,133,133
30,30,30,30,30
395,395,495,395,395
219,219,219,219,219
236,236,236,236,236
43,43,43,43,43
176,176,176,176,176
188,107,107,107,107
190,190,190,190,190
493,493,493,493,493
23,23,23,21,23
258,258,258,258,258
