class_name,image_path,target
n02837789,n02837789/sketch_5.JPEG,243
n04209133,n04209133/sketch_33.JPEG,379
n02090379,n02090379/sketch_48.JPEG,97
n02389026,n02389026/sketch_11.JPEG,192
n03394916,n03394916/sketch_9.JPEG,285
n01914609,n01914609/sketch_49.JPEG,63
n02641379,n02641379/sketch_12.JPEG,220
n01773797,n01773797/sketch_8.JPEG,44
n02009229,n02009229/sketch_21.JPEG,73
n01872401,n01872401/sketch_37.JPEG,59
n01978287,n01978287/sketch_37.JPEG,68
n07734744,n07734744/sketch_34.JPEG,473
n02793495,n02793495/sketch_26.JPEG,236
n04532106,n04532106/sketch_23.JPEG,441
n04254680,n04254680/sketch_41.JPEG,387
n03720891,n03720891/sketch_18.JPEG,312
n02782093,n02782093/sketch_31.JPEG,234
n02749479,n02749479/sketch_15.JPEG,232
n02093256,n02093256/sketch_50.JPEG,105
n02105412,n02105412/sketch_50.JPEG,134
n04074963,n04074963/sketch_19.JPEG,362
n02403003,n02403003/sketch_12.JPEG,197
n03709823,n03709823/sketch_41.JPEG,310
n04409515,n04409515/sketch_13.JPEG,415
n04404412,n04404412/sketch_10.JPEG,414
n04330267,n04330267/sketch_20.JPEG,398
n01484850,n01484850/sketch_47.JPEG,1
n01677366,n01677366/sketch_34.JPEG,24
n01616318,n01616318/sketch_50.JPEG,18
n04584207,n04584207/sketch_13.JPEG,451
n01630670,n01630670/sketch_27.JPEG,19
n02443484,n02443484/sketch_6.JPEG,209
n02093256,n02093256/sketch_6.JPEG,105
n02113023,n02113023/sketch_35.JPEG,156
n04366367,n04366367/sketch_7.JPEG,406
n02111889,n02111889/sketch_39.JPEG,153
n02412080,n02412080/sketch_22.JPEG,200
n02692877,n02692877/sketch_4.JPEG,226
n02105641,n02105641/sketch_28.JPEG,135
n02097047,n02097047/sketch_3.JPEG,113
n04350905,n04350905/sketch_36.JPEG,401
n03903868,n03903868/sketch_3.JPEG,336
n02091134,n02091134/sketch_13.JPEG,100
n02236044,n02236044/sketch_11.JPEG,179
n02105162,n02105162/sketch_47.JPEG,133
n02356798,n02356798/sketch_27.JPEG,189
n03379051,n03379051/sketch_15.JPEG,283
n09193705,n09193705/sketch_5.JPEG,485
n02090379,n02090379/sketch_28.JPEG,97
n03063689,n03063689/sketch_8.JPEG,265
n01882714,n01882714/sketch_22.JPEG,61
n03355925,n03355925/sketch_33.JPEG,281
n07715103,n07715103/sketch_14.JPEG,468
n04604644,n04604644/sketch_42.JPEG,457
n04357314,n04357314/sketch_16.JPEG,405
n04209239,n04209239/sketch_22.JPEG,380
n03942813,n03942813/sketch_13.JPEG,341
n02111277,n02111277/sketch_2.JPEG,151
n04141975,n04141975/sketch_14.JPEG,372
n01740131,n01740131/sketch_46.JPEG,35
n01644373,n01644373/sketch_32.JPEG,22
n01614925,n01614925/sketch_12.JPEG,17
n03447721,n03447721/sketch_30.JPEG,290
n02105056,n02105056/sketch_25.JPEG,132
n02110185,n02110185/sketch_32.JPEG,148
n02130308,n02130308/sketch_0.JPEG,173
n02123045,n02123045/sketch_8.JPEG,166
n04456115,n04456115/sketch_2.JPEG,423
n02037110,n02037110/sketch_33.JPEG,78
n07718747,n07718747/sketch_44.JPEG,472
n04125021,n04125021/sketch_38.JPEG,367
n02454379,n02454379/sketch_23.JPEG,211
n02132136,n02132136/sketch_43.JPEG,174
n04251144,n04251144/sketch_10.JPEG,384
n04371430,n04371430/sketch_13.JPEG,408
n01729322,n01729322/sketch_46.JPEG,32
n03724870,n03724870/sketch_44.JPEG,313
n02037110,n02037110/sketch_8.JPEG,78
n02442845,n02442845/sketch_36.JPEG,207
n04487394,n04487394/sketch_16.JPEG,431
n03958227,n03958227/sketch_36.JPEG,343
n01698640,n01698640/sketch_20.JPEG,29
n01774384,n01774384/sketch_10.JPEG,45
n02102177,n02102177/sketch_26.JPEG,128
n01882714,n01882714/sketch_43.JPEG,61
n02837789,n02837789/sketch_35.JPEG,243
n02643566,n02643566/sketch_38.JPEG,221
n09835506,n09835506/sketch_19.JPEG,490
n02114367,n02114367/sketch_38.JPEG,160
n02236044,n02236044/sketch_36.JPEG,179
n02268443,n02268443/sketch_5.JPEG,180
n02106550,n02106550/sketch_41.JPEG,139
n01443537,n01443537/sketch_19.JPEG,0
n01855032,n01855032/sketch_45.JPEG,56
n04371430,n04371430/sketch_17.JPEG,408
n02109525,n02109525/sketch_21.JPEG,147
n03089624,n03089624/sketch_15.JPEG,266
n02113624,n02113624/sketch_1.JPEG,157
n03207941,n03207941/sketch_22.JPEG,273
n02108089,n02108089/sketch_14.JPEG,143
n01697457,n01697457/sketch_8.JPEG,28
n03761084,n03761084/sketch_41.JPEG,316
n04310018,n04310018/sketch_41.JPEG,394
n01601694,n01601694/sketch_30.JPEG,15
n02105412,n02105412/sketch_6.JPEG,134
n03127925,n03127925/sketch_39.JPEG,269
n03544143,n03544143/sketch_33.JPEG,298
n03445924,n03445924/sketch_50.JPEG,289
n02109525,n02109525/sketch_22.JPEG,147
n02277742,n02277742/sketch_40.JPEG,181
n06785654,n06785654/sketch_42.JPEG,460
n02002556,n02002556/sketch_40.JPEG,71
n04355338,n04355338/sketch_5.JPEG,402
n02091831,n02091831/sketch_14.JPEG,102
