ID,image_path,target
0,0.JPEG,328
1,1.JPEG,414
2,2.JPEG,493
3,3.JPEG,17
4,4.JPEG,388
5,5.JPEG,20
6,6.JPEG,163
7,7.JPEG,171
8,8.JPEG,14
9,9.JPEG,276
10,10.JPEG,398
11,11.JPEG,278
12,12.JPEG,64
13,13.JPEG,415
14,14.JPEG,390
15,15.JPEG,399
16,16.JPEG,117
17,17.JPEG,24
18,18.JPEG,1
19,19.JPEG,141
20,20.JPEG,290
21,21.JPEG,321
22,22.JPEG,473
23,23.JPEG,140
24,24.JPEG,441
25,25.JPEG,312
26,26.JPEG,32
27,27.JPEG,151
28,28.JPEG,436
29,29.JPEG,100
30,30.JPEG,266
31,31.JPEG,300
32,32.JPEG,487
33,33.JPEG,375
34,34.JPEG,236
35,35.JPEG,109
36,36.JPEG,86
37,37.JPEG,351
38,38.JPEG,283
39,39.JPEG,408
40,40.JPEG,290
41,41.JPEG,139
42,42.JPEG,262
43,43.JPEG,24
44,44.JPEG,103
45,45.JPEG,443
46,46.JPEG,312
47,47.JPEG,197
48,48.JPEG,317
49,49.JPEG,259
50,50.JPEG,436
51,51.JPEG,316
52,52.JPEG,208
53,53.JPEG,468
54,54.JPEG,374
55,55.JPEG,12
56,56.JPEG,323
57,57.JPEG,355
58,58.JPEG,428
59,59.JPEG,276
60,60.JPEG,286
61,61.JPEG,7
62,62.JPEG,184
63,63.JPEG,163
64,64.JPEG,114
65,65.JPEG,463
66,66.JPEG,97
67,67.JPEG,495
68,68.JPEG,461
69,69.JPEG,12
70,70.JPEG,184
71,71.JPEG,99
72,72.JPEG,435
73,73.JPEG,311
74,74.JPEG,351
75,75.JPEG,202
76,76.JPEG,292
77,77.JPEG,121
78,78.JPEG,110
79,79.JPEG,49
80,80.JPEG,338
81,81.JPEG,256
82,82.JPEG,166
83,83.JPEG,109
84,84.JPEG,367
85,85.JPEG,306
86,86.JPEG,102
87,87.JPEG,20
88,88.JPEG,365
89,89.JPEG,495
90,90.JPEG,119
91,91.JPEG,138
92,92.JPEG,473
93,93.JPEG,439
94,94.JPEG,114
